gene,ctd,number of occurrences
TMX4,NDE,1173
RORB-AS1,NF,1173
LINC00659,NF,1172
LOC107985428,NF,1172
LOC105377269,NF,1170
HLA-DPA1,NDE,1165
FLG,NDE,1161
IMMP2L,NDE,1159
LOC105375847,NF,1159
LYST,NDE,1156
LOC105373504,NF,1153
PQLC2,NDE,1147
LOC107985571,NF,1146
BRD1,NDE,1145
ZBTB20,NDE,1141
SUMO1P1,NF,1141
LOC105375660,NF,1139
NIPAL2,NDE,1139
PAOX,NDE,1134
ASF1A,NDE,1134
GATA3,NDE,1131
LOC102723932,NF,1129
PAGE1,NF,1128
RRM1,NDE,1123
ZDHHC15,NDE,1121
RXFP2,NDE,1118
EPGN,NF,1117
LOC105376352,NF,1116
RPN2,NDE,1113
ZNF572,NDE,1112
OSBPL10,NDE,1109
GSTZ1,NDE,1105
LOC105378250,NF,1103
CCNDBP1,NDE,1102
PI16,NDE,1101
CYYR1-AS1,NF,1100
LGR5,NDE,1100
C5orf66,NF,1098
PROX1,NDE,1089
LOC105377763,NF,1088
OR1A2,NDE,1083
FAM227B,NDE,1081
RAB10,NDE,1078
LOC105374333,NF,1078
VPS72,NDE,1075
FGF7,NDE,1074
OSBPL10-AS1,NF,1073
DNAJC24,NDE,1073
CLIP2,NDE,1072
LOC105374839,NF,1070
ZNF862,NDE,1069
SUPV3L1,NDE,1068
SHOX,NDE,1068
LOC105372776,NF,1067
LOC100505774,NF,1065
SHPRH,NDE,1065
AADAT,NDE,1065
ZNF217,NDE,1065
LOC105377100,NF,1064
NSG1,NDE,1063
LINC01318,NF,1062
LOC105370346,NF,1061
MTHFS,NDE,1060
LOC107987064,NF,1060
ST20-MTHFS,NF,1060
LOC105369807,NF,1056
PRKDC,NDE,1055
MTHFR,NDE,1052
LOC441728,NF,1050
LOC107984728,NF,1044
LOC107984465,NF,1044
LOC100507557,NF,1043
GOLGA3,NDE,1042
NCKAP5,NDE,1038
XKR6,NDE,1038
ST7L,NDE,1035
LOC105378447,NF,1033
FBXO30,NDE,1033
LOC107984763,NF,1030
BUB1B,NDE,1030
LOC107986129,NF,1028
PHIP,NDE,1026
RASD2,NDE,1021
PHYH,NDE,1021
LINC00968,NDE,1018
LOC105375237,NF,1015
KLC1,NDE,1014
MYH10,NDE,1013
LOC107984540,NF,1013
LOC105370247,NF,1009
LOC105374521,NF,1008
LOC105376477,NF,1006
LINC01609,NF,1005
VSX1,NDE,1004
LOC105373888,NF,1004
LOC105374120,NF,1003
MINK1,NDE,1001
CABP1,NDE,999
SCNN1B,NDE,997
SGPL1,NDE,995
LOC107985955,NF,995
NKPD1,NDE,992
CAPN3,NDE,987
LOC105370558,NF,986
LOC107984639,NF,985
LOC105370955,NF,984
C5orf56,NF,983
C4orf22,NF,980
TMED3,NDE,979
TOLLIP,NDE,977
LOC105374002,NF,977
C22orf39,NF,968
SKIV2L,NDE,968
LOC105372860,NF,968
ENOX2,NDE,965
LOC105375811,NF,965
GOLGA1,NDE,964
LOC101928977,NF,963
LOC643441,NF,958
LOC105369826,NF,958
LOC105375126,NF,958
TDH,NDE,957
LINC01572,NF,955
POLR3C,NDE,951
TEX41,NDE,946
LOC105374096,NF,944
EFCAB13,NDE,943
HTR2A,NDE,943
CXCL6,NF,942
ZNF827,NDE,942
DLEU7,NF,938
HTR2A-AS1,NF,936
CERS3,NDE,936
CERS3-AS1,NF,934
NLRC3,NF,933
NT5DC4,NDE,932
NIF3L1,NDE,931
ADPRM,NDE,927
C11orf88,NF,926
LOC105371754,NF,924
TTN,NDE,923
PLEKHB1,NDE,923
APBB1,NDE,921
FKBP1A,NDE,920
FKBP1A-SDCBP2,NF,920
PLA2G12A,NDE,919
BEST1,NDE,919
LOC107984334,NF,919
LOC105375983,NF,918
PNN,NDE,916
LOC105373333,NF,916
LOC105374789,NF,916
PCBD2,NDE,913
TAB1,NDE,913
EXOC6,NDE,912
MAP3K15,NF,912
RABGAP1,NDE,911
MROH1,NDE,911
LOC105372049,NF,909
TTN-AS1,NDE,909
HS3ST3A1,NDE,905
TPST1,NDE,903
SERPINB12,NDE,902
ING2,NDE,902
LOC105379188,NF,901
ZNF25,NDE,897
ZNF646,NF,897
LOC105372714,NF,896
MIR598,NF,896
LOC107984567,NF,894
OR10J1,NF,891
LOC101927770,NF,889
GBP3,NDE,885
LOC100506472,NF,884
AREL1,NDE,884
DNAI1,NDE,884
LINC02017,NF,883
ZNF681,NDE,883
HRK,NDE,882
NCOA7,NDE,882
RAD51D,NDE,881
FHOD1,NDE,880
GPR21,NF,880
LOC105371468,NF,877
CD84,NDE,877
MIP,NDE,877
LOC105372686,NF,874
MRGPRF,NDE,873
GSTA1,NDE,873
ZCCHC7,NDE,871
CH17-340M24.3,NF,869
LOC105375127,NF,869
PAK3,NDE,867
SLIT3,NDE,866
NCOA7-AS1,NF,866
LINC02220,NF,865
TOP1MT,NF,860
GMCL1,NDE,860
LOC105379301,NF,860
PNPLA6,NDE,858
STATH,NDE,858
ASB5,NDE,856
LOC107985551,NF,856
NAGA,NDE,856
CASC17,NF,854
FTX,NDE,852
MTUS2,NDE,852
LOC105376375,NF,852
LOC100287049,NF,852
LOC105369771,NF,850
LOC105374946,NF,850
REC114,NF,849
CNTNAP2,NDE,849
MYOM1,NDE,849
C4orf51,NF,845
LOC101927044,NF,845
CD226,NDE,844
NTRK1,NDE,844
LOC105371953,NF,844
LOC105374003,NF,838
MCM6,NDE,837
APLN,NDE,835
PPM1G,NDE,834
DIP2C,NDE,833
TNIP3,NF,832
PLA2G16,NDE,831
TRAPPC8,NDE,830
PDZRN3,NDE,829
LINC00710,NF,829
SPIDR,NDE,828
SCO1,NDE,827
CWF19L1,NDE,826
CCNK,NDE,824
LOC100507443,NF,822
LOC107984197,NF,822
GPD1L,NDE,821
FBXO16,NDE,819
PFKFB2,NDE,819
TGIF2,NDE,818
TGIF2-C20orf24,NF,818
M6PR,NDE,814
YOD1,NDE,814
LGI1,NDE,814
LOC105378437,NF,814
LOC105370152,NF,813
EPSTI1,NDE,812
LINC02513,NF,812
BCDIN3D-AS1,NF,810
NCKAP5L,NDE,810
LOC102724019,NF,808
LRRN3,NDE,808
TSTD2,NDE,807
LINC00894,NDE,807
ADTRP,NDE,805
APPL2,NDE,805
LOC107986569,NF,805
MPG,NDE,804
RCN1,NDE,802
ANKRD27,NDE,802
TRANK1,NDE,798
LOC105370178,NF,797
GRPR,NF,797
LOC105376714,NF,795
ACTR1A,NDE,792
CNTNAP5,NDE,791
LOC107984790,NF,790
HIGD1A,NDE,789
LOC107985502,NF,789
LOC105374701,NF,789
MAGOH2P,NF,786
TMEM220,NDE,786
RAD54L,NDE,786
LOC105373146,NF,785
LOC105369833,NF,785
RFC2,NDE,784
KCTD19,NDE,784
LINC02027,NF,783
HNRNPM,NDE,782
FAM207A,NDE,781
FAM120C,NDE,781
SPTAN1,NDE,779
LOC101927895,NF,779
LOC102723739,NF,779
EMC1,NDE,779
LOC105372955,NF,777
KY,NDE,775
LOC105376222,NF,774
CEP63,NDE,774
PRMT9,NF,770
LOC728095,NF,770
PCID2,NDE,767
TMEM167A,NDE,766
LOC105371031,NF,765
PROZ,NDE,763
LOC105370174,NF,762
LOC105374344,NF,760
C19orf53,NF,759
LOC100129055,NF,757
FAM168A,NDE,756
LOC643542,NF,753
RALGAPB,NDE,752
LOC101928887,NF,752
FRZB,NDE,751
MAATS1,NDE,749
KCNIP1,NF,749
ZSCAN18,NF,747
LOC101927369,NF,743
RBMX2,NDE,743
IFT88,NDE,739
BCR,NDE,739
CDC45,NDE,739
CYYR1,NDE,737
RCL1,NDE,737
LOC105374706,NF,735
LOC105373623,NF,735
CTD-2270F17.1,NF,729
MIR4417,NDE,728
LRIG2,NDE,728
RAB27B,NDE,728
HRC,NDE,727
CAMK2G,NDE,726
LOC105370826,NF,725
CEACAM5,NDE,725
SATB2,NDE,724
C16orf96,NF,724
C6orf163,NF,724
NRCAM,NDE,723
RNF44,NDE,722
MAML3,NF,718
PPP2R5A,NDE,716
KIAA1024,NDE,715
NTRK3,NDE,713
GLIPR1,NDE,712
RALGAPA2,NDE,712
SLC36A4,NDE,712
NTM,NDE,710
IMPACT,NDE,710
SHE,NDE,709
LOC102503427,NF,707
KDM6A,NDE,703
LOC105371586,NF,703
ATP1A1,NDE,702
FBF1,NDE,702
ADIPOR1,NDE,701
ATRNL1,NDE,700
LOC105377436,NF,699
CAPSL,NDE,698
LOC105372577,NF,697
PHLDB1,NDE,697
SEPT7-AS1,NF,696
LOC102723561,NF,696
SLC25A51,NDE,695
SLC37A1,NDE,695
LOC102724832,NF,694
UBR2,NDE,693
LOC102723657,NF,692
C3orf52,NF,690
LINC01080,NF,690
LOC107987046,NF,689
TSHZ3,NDE,687
BCL2L2-PABPN1,NF,685
PABPN1,NDE,685
SLC30A7,NDE,681
QSER1,NDE,679
IPPK,NDE,679
LOC107986602,NF,677
LOC105372647,NF,677
LOC107984008,NF,677
LOC101927342,NF,677
STK32A-AS1,NF,677
LOC105372255,NF,674
ACSBG2,NF,673
SUGP2,NDE,671
LOC102724417,NF,671
LOC105369845,NF,670
LOC105369660,NF,670
GLT1D1,NDE,669
MIR548O2,NF,668
LOC102724363,NF,666
LOC105378796,NF,665
LOC101927296,NF,664
ZNF807,NF,664
LOC105374660,NF,662
C5orf42,NF,662
KCNJ2,NDE,662
NARS2,NDE,659
LOC107985712,NF,658
LINC00649,NF,656
GTDC1,NDE,656
LOC105378801,NF,656
OR2Z1,NDE,656
SCARNA18,NF,656
ZBTB20-AS5,NF,654
AVEN,NDE,654
CA5A,NDE,653
LRAT,NDE,653
SLC38A5,NDE,652
TRAT1,NDE,650
CSNK1G1,NDE,649
TLR7,NDE,646
DHRS7B,NDE,644
SDE2,NDE,644
NSG2,NDE,640
LOC102724551,NF,640
SPHKAP,NDE,640
LOC107985993,NF,640
CETN3,NDE,639
DLG2,NDE,639
ARHGDIB,NDE,639
ADAMTSL1,NDE,639
LOC107983958,NF,636
LOC107985681,NF,636
LINC02337,NF,636
SERINC2,NDE,635
LCE2C,NDE,634
STAT3,NDE,633
LOC105372446,NF,632
LOC107984041,NF,631
NKAPP1,NF,631
NCAM2,NDE,631
SPAM1,NDE,630
LOC107986094,NF,628
CSTF3,NDE,628
LOC105373739,NF,627
LHFPL1,NF,626
ARL6IP6,NDE,626
LOC400710,NF,625
TNFRSF10A,NDE,623
MRPS27,NDE,623
POLR3A,NDE,622
PAPD5,NDE,621
UBE3D,NDE,619
LOC107986480,NF,619
ZNF449,NDE,613
TBC1D8B,NDE,613
MEG3,NDE,613
LOC105377043,NF,613
LOC105372693,NF,612
LOC101929653,NF,609
LINC02101,NF,607
HLA-DQA2,NF,606
FRMD4B,NDE,606
LOC101928596,NF,605
CCDC12,NDE,605
ADAMTS3,NDE,603
TK2,NDE,603
TBX19,NDE,602
LINC02289,NF,601
ENO2,NDE,599
OR10K2,NF,599
GKN1,NDE,599
ANXA5,NDE,598
CTBS,NDE,597
EPHA6,NDE,597
MIR99AHG,NDE,596
DENND1A,NDE,594
LOC107984602,NF,592
ARSD-AS1,NF,589
LOC105375860,NF,588
DDX12P,NF,588
LRRK1,NDE,588
LOC105369933,NF,587
ZNF609,NF,586
TIPARP,NDE,584
LOC105370834,NF,584
RNF169,NDE,584
FAM170A,NDE,584
LOC107986148,NF,583
CIT,NDE,583
AGBL1,NDE,583
OSGEP,NDE,581
CST13P,NF,581
RAB2A,NDE,581
ATN1,NDE,580
AFAP1L1,NDE,580
LOC105370854,NF,578
ITGA3,NDE,577
PCSK9,NDE,577
CCDC158,NDE,576
LOC105374715,NF,575
ERBIN,NDE,574
MICU3,NDE,574
MAT2B,NDE,573
ASCC1,NF,571
ULK4,NF,570
LOC105374523,NF,570
TPTE2,NDE,568
LOC105369953,NF,565
ARSG,NDE,565
MIEF1,NDE,565
LETM1,NDE,564
LOC107987055,NF,563
LOC105378199,NF,561
TCF4,NDE,558
LINC01932,NF,558
LOC105377703,NF,557
C6,NDE,557
ABCC6,NDE,557
DPH7,NDE,556
LY96,NDE,555
ZNF746,NDE,555
LRIG1,NDE,555
TMEM161B-AS1,NDE,553
DPH5,NDE,552
PARAL1,NF,552
TLN1,NDE,551
ZNF473,NDE,550
GPBP1L1,NF,549
RPS15AP10,NF,549
FAM161B,NDE,548
CYP4A22,NDE,548
SATB2-AS1,NF,548
NLRP8,NF,547
CREBBP,NDE,547
BMP2K,NDE,546
LINC00382,NF,545
LOC105376463,NF,545
NRDC,NDE,545
GPI,NDE,544
LOC105376542,NF,543
ABCC10,NDE,541
VPS45,NDE,541
LOC105370060,NF,541
ITGA8,NDE,540
XRRA1,NDE,539
EMP2,NDE,538
FXYD6-FXYD2,NF,538
ABCD1,NDE,538
MICU1,NDE,537
LINC00461,NDE,536
LOC102724330,NF,533
SCN2B,NDE,530
JADE3,NDE,528
UBE3A,NDE,528
PPP6C,NDE,528
RMDN2,NDE,527
LOC105379100,NF,527
ICE1,NDE,526
PRRG1,NDE,524
LOC105370214,NF,524
FBXW4P1,NF,519
LOC285638,NF,519
MYBPHL,NDE,519
LOC107987065,NF,516
LOC100287477,NF,515
CHRM5,NDE,515
LOC107984327,NF,513
SLC6A20,NDE,512
EVC2,NDE,511
LOC107986370,NF,510
OR8K3,NF,509
FLG2,NDE,505
LOC101930091,NF,505
ADIG,NDE,505
CLPB,NDE,505
LOC107984801,NF,505
LOC107986836,NF,504
NUP155,NDE,501
LOC107986855,NF,501
UBOX5-AS1,NF,500
LOC100996671,NF,500
SLC34A2,NDE,500
LOC105370438,NF,498
LRP12,NDE,497
LINC01303,NF,496
LINC01747,NF,496
SHCBP1,NDE,496
ATP10D,NDE,495
STRAP,NDE,495
SPATA1,NF,495
LOC645177,NF,495
LOC101928273,NF,494
ZBTB16,NDE,494
LOC107983981,NF,493
LINC02393,NF,492
LINC00508,NF,492
LOC101928875,NF,492
GREB1,NDE,491
LOC105377612,NF,491
ZC3H3,NDE,491
PRDM10,NDE,490
PRDM11,NDE,489
LOC105376040,NF,489
FBXO22,NDE,489
LOC101929231,NF,489
SLTM,NF,489
USP39,NDE,488
LOC105371026,NF,488
LOC105376652,NF,487
TEKT5,NDE,487
PI4KB,NDE,486
DPP3,NDE,486
NYNRIN,NDE,486
LINC01525,NF,486
LOC105376033,NF,485
ARSD,NDE,485
LOC105371079,NF,484
ZMYM4,NDE,484
RNF217,NDE,483
ARMC6,NF,482
LOC107986894,NF,482
LOC101927516,NF,481
ASTN2,NDE,481
DIAPH1,NDE,480
LOC105369764,NF,480
AQP5,NDE,480
LOC105373397,NF,479
AOC1,NDE,479
LOC107985637,NF,479
CILP,NDE,479
LOC105375567,NF,479
LOC105373105,NF,479
LOC105372064,NF,478
GALNT1,NDE,478
PDE2A,NDE,478
NGLY1,NDE,477
CELA1,NDE,476
RPS6KC1,NDE,474
LOC107986651,NF,474
BMP3,NF,474
ELP6,NDE,472
ATP2B2,NDE,472
LOC107985969,NF,472
DYNLT3,NDE,471
NANOGNB,NF,470
DENND5A,NDE,470
LOC100996251,NF,470
DAOA-AS1,NF,470
LINC01999,NF,470
PTH1R,NDE,469
LOC105369403,NF,468
LOC107985055,NF,467
CSMD1,NF,464
LOC100506207,NF,464
SLC16A6,NDE,463
SLC22A3,NDE,461
COTL1,NDE,461
ADGRE4P,NF,461
MIR4529,NF,460
AIG1,NDE,460
TCF4-AS1,NF,460
LINC01787,NF,459
LOC101929278,NF,459
NUP37,NDE,459
LOC105375556,NF,459
HSD17B2,NDE,457
ZDHHC11,NDE,457
NIM1K,NDE,457
COQ6,NDE,453
LOC102724102,NF,451
C6orf106,NF,450
ADGRF3,NDE,447
LOC105372568,NF,446
STYXL1,NDE,446
DSC3,NDE,446
INTS7,NDE,446
DARS2,NDE,445
LOC107984589,NF,443
HOXC13,NF,443
ABHD5,NDE,441
NLE1,NDE,441
LOC105369466,NF,441
FBN1,NDE,439
ZNF236,NF,439
ENOX1,NDE,439
ZNF512,NDE,439
ECHDC3,NDE,438
LOC105370128,NF,438
LINC00701,NF,436
KRT18,NDE,435
LOC105370964,NF,435
PTGIS,NDE,434
USP24,NDE,434
FCGR3B,NDE,433
GPR135,NDE,433
RAP1A,NDE,433
STK32A,NDE,433
SCARB2,NDE,432
USP7,NDE,432
LOC105375865,NF,432
SRP68,NDE,431
DCBLD2,NDE,431
DDI2,NDE,430
GSS,NDE,430
MYH7B,NF,430
HNRNPR,NDE,428
NAV2,NDE,428
LOC107984931,NF,428
FHIT,NDE,428
PDE4D,NDE,427
LOC107985139,NF,427
ZZZ3,NDE,427
ZNF24,NDE,427
ADORA2B,NDE,427
PSMD6-AS2,NF,426
PSMD6,NDE,426
KDM4A,NDE,426
MDGA2,NDE,426
LOC107986226,NF,426
SLK,NDE,426
LOC105375822,NF,425
LOC105371363,NF,425
BPHL,NDE,424
CACNA1C-AS2,NF,424
ZZEF1,NDE,424
LOC107986556,NF,423
LOC105372173,NF,422
GZF1,NDE,422
LOC105370855,NF,421
NEBL,NDE,416
LOC105372631,NF,416
LOC105379121,NF,415
CAPZA2,NDE,415
LOC105370397,NF,415
ZDHHC3,NDE,415
LOC107984215,NF,413
MEGF9,NDE,413
LOC102723339,NF,413
LOC105371509,NF,412
TRABD2A,NDE,412
SNRK,NDE,411
ERICH3,NDE,410
SORCS3,NDE,409
LINC02177,NF,409
LOC107986589,NF,408
GRM5,NDE,408
TGFB1,NDE,408
FAM219A,NDE,407
IFNL2,NDE,407
LOC105370780,NF,406
LOC105371090,NF,406
LOC105376413,NF,406
LOC107984901,NF,405
LOC105369784,NF,405
LOC105377046,NF,404
LOC105370757,NF,402
EDNRB-AS1,NF,402
LINC02107,NF,401
CSRP3,NDE,401
GTSE1,NDE,401
ARHGAP36,NDE,401
LOC107986195,NF,400
OTUD7B,NDE,398
LOC107984420,NF,398
LINC00383,NF,397
LINC01612,NF,397
FAM32A,NDE,397
MEP1B,NDE,397
LOC105375771,NF,397
ZBTB20-AS1,NDE,396
PRICKLE2,NDE,396
LINC01649,NF,396
LOC102724928,NF,395
LOC107987124,NF,394
LOC100506747,NF,393
LOC101928338,NF,393
LOC100505942,NF,392
ERICH3-AS1,NF,392
ACTR3,NDE,392
MTUS2-AS1,NF,392
HELQ,NDE,391
GC,NF,391
OFD1,NDE,389
CLTC,NDE,389
SPECC1L-ADORA2A,NF,389
LOC105375726,NF,388
IL33,NDE,388
GAD2,NDE,387
PBX4,NDE,387
LINC02060,NF,386
RAF1,NDE,385
LOC101929028,NF,385
TRIM35,NDE,385
LOC102724907,NF,384
SP140,NDE,384
CYLD,NDE,384
FXR1,NDE,383
SLC35E3,NDE,381
NUP107,NDE,381
HLA-DPB1,NDE,379
LOC105375414,NF,379
SLC16A4,NDE,379
KIRREL2,NDE,377
KRT24,NF,377
LOC105379162,NF,377
HTR3C,NF,376
ARHGEF4,NDE,376
FGF10,NDE,375
CCNI2,NDE,373
KDM4A-AS1,NF,373
SEPT8,NDE,373
KIF5A,NF,373
LOC105375138,NF,371
PYGM,NDE,371
ANKFY1,NDE,371
MAP4K3,NDE,371
F11,NDE,370
LINC02173,NF,368
LOC102723803,NF,368
LOC100131257,NF,367
LINC01570,NF,367
TBXAS1,NDE,367
TM2D1,NDE,366
LOC105369395,NF,366
ANKRD10,NDE,366
TMEM132D,NDE,365
LINC01791,NF,365
LOC107984275,NF,365
TENM4,NDE,365
FAM186B,NF,364
CARMN,NDE,364
LOC105375597,NF,364
MIR143,NDE,364
LINC01355,NF,363
CENPP,NDE,363
FAM160B2,NDE,362
IFNG,NDE,362
MED1,NDE,361
CHRNA5,NDE,361
MCTP2,NDE,360
RBKS,NDE,359
LOC105374322,NF,359
LOC101928316,NF,359
LOC107986184,NF,358
SLC5A1,NDE,358
LOC105369438,NF,357
ZNF492,NDE,357
CHIA,NDE,357
MXRA7,NDE,357
FAM167A,NDE,357
LOC107984708,NF,357
LOC105378971,NF,356
PHF8,NDE,356
LINC01661,NF,355
MTHFD2L,NDE,355
TRERF1,NDE,355
MPP4,NDE,353
DTL,NDE,352
LINC01111,NF,352
UNC45B,NDE,352
CTNND2,NDE,351
ADAD1,NDE,351
AGBL3,NF,350
LOC100130476,NF,349
VPS37C,NDE,349
TMIGD3,NF,349
LOC105373222,NF,348
LOC105378806,NF,348
RABGAP1L,NDE,347
LOC105371357,NF,347
MECOM,NDE,347
ADCY5,NDE,347
LOC105373628,NF,346
IQCH,NDE,346
LOC105370639,NF,346
LINC01266,NF,346
LOC400622,NF,345
RAB11FIP4,NDE,345
DENND1B,NDE,343
LINC01994,NF,343
DOCK4,NDE,343
ANK2,NDE,343
LOC107985532,NF,343
LOC105373880,NF,342
LOC105373881,NF,342
KDELR2,NDE,342
PNKD,NDE,342
LOC105378465,NF,342
GGA3,NDE,340
C15orf48,NF,340
MIR147B,NF,340
PRPS1,NDE,340
LOC105370461,NF,339
LOC101928663,NF,339
FUNDC2,NDE,339
LINC00113,NF,338
UBE2B,NDE,338
LOC105371358,NF,338
CMKLR1,NDE,337
FGGY,NDE,335
SMC5,NDE,335
LINC02119,NF,335
RRP1B,NDE,335
LOC105372507,NF,335
OR2L13,NF,335
LINGO2,NDE,334
FCGBP,NDE,334
LOC105376941,NF,333
LOC105369333,NF,333
LOC105375272,NF,332
NFATC2,NDE,332
SMIM11A,NDE,331
LOC101929541,NF,331
LOC107986412,NF,330
LOC105372791,NF,330
LOC107985262,NF,330
ARMC7,NDE,330
ARHGAP29,NDE,330
ADORA2A-AS1,NF,329
LOC105376345,NF,329
LRRC9,NDE,329
LOC107987045,NF,329
LOC105374056,NF,329
LOC105370524,NF,329
LOC107986108,NF,328
USP48,NDE,328
ADCY7,NDE,326
LOC107984425,NF,326
GPAT4,NDE,326
STXBP4,NDE,325
GRB10,NDE,325
CHFR,NDE,325
RIPOR3,NDE,325
DSE,NDE,323
LOC105369818,NF,323
CAMKK2,NDE,323
LOC102724208,NF,322
NOL9,NDE,321
CDH26,NDE,321
MIR3681HG,NF,320
PCCA,NDE,320
CD22,NDE,319
GFRA1,NDE,319
GANC,NDE,318
KCNMB4,NDE,318
SLC26A4,NDE,317
LOC101927124,NF,317
LOC105372076,NF,317
FENDRR,NF,316
LOC107985092,NF,316
FRAS1,NDE,316
LOC105375701,NF,315
CD274,NDE,315
LOC105377167,NF,315
TMEM35A,NDE,314
NELL1,NDE,314
GPSM3,NDE,313
ADORA2A,NDE,313
SETD4,NDE,313
TBC1D30,NDE,313
LOC105376253,NF,311
LOC105375404,NF,311
AFTPH,NDE,310
LOC105375975,NF,310
PRICKLE2-AS1,NF,310
USP35,NDE,309
SERAC1,NDE,309
LINC01616,NF,309
CTXN2,NF,308
LOC107984381,NF,307
EPB42,NDE,307
SLC35G1,NDE,307
GOT1,NDE,305
LOC101929048,NF,305
MAF,NDE,304
EML1,NDE,304
INO80,NDE,304
KRTAP2-3,NDE,304
KYNU,NDE,303
LOC105372044,NF,303
WDR7,NDE,303
OCA2,NF,302
IQCH-AS1,NF,302
NAA35,NDE,302
LOC101926915,NF,301
RBM33,NDE,301
SKINT1L,NF,301
RCAN2,NDE,301
LOC105370345,NF,300
MYO5B,NDE,300
VRK3,NDE,300
PTK2B,NDE,299
LOC105376237,NF,299
HIF3A,NDE,299
JCAD,NDE,299
DOCK4-AS1,NF,298
LOC105378346,NF,298
CFAP99,NDE,297
KBTBD12,NF,297
LOC105379778,NF,297
KPNA6,NDE,297
ATP6V0D1,NDE,297
SPDEF,NDE,297
TET2-AS1,NF,296
AKR1D1,NDE,296
RBM6,NDE,294
LRP1B,NF,294
CDH13,NDE,294
STEAP4,NDE,294
LOC105378415,NF,293
GALNT5,NDE,293
DLGAP1,NF,292
FNDC3A,NDE,292
LOC105376208,NF,291
MTR,NDE,291
CLEC4GP1,NF,291
LINC02181,NF,291
OR2AJ1,NF,291
LINC01753,NF,290
SNED1,NDE,289
PLBD1,NDE,287
CHMP5,NDE,287
GRM8,NDE,286
MRPS7,NDE,286
LOC105376481,NF,286
SUGCT,NDE,286
LOC107984687,NF,286
GRIN2A,NDE,285
LOC105369427,NF,285
LOC102723568,NF,285
PAQR7,NDE,284
RMDN2-AS1,NF,284
SIM2,NDE,284
MYO1B,NDE,283
XRCC5,NDE,283
LINC00400,NF,282
LOC107986411,NF,282
LOC105379185,NF,281
TMEM100,NDE,281
LOC105378740,NF,281
SLC8A1-AS1,NDE,280
MIR3977,NF,280
TXNDC11,NDE,279
MIR101-2,NF,279
LOC105370467,NF,279
COL4A2,NDE,277
PSMA6,NDE,276
LOC105372332,NF,276
PYGL,NDE,276
CCL4,NDE,276
GRIN2B,NDE,274
MYO5A,NDE,273
SKA1,NDE,272
ERCC4,NDE,270
KCNT2,NDE,270
CARD11,NDE,270
TAAR9,NF,269
LINC00871,NF,269
LOC105370492,NF,268
ATP2B2-IT2,NF,268
TMEM201,NDE,267
LOC107984625,NF,267
LPO,NDE,267
GALNT15,NDE,267
ADAM22,NDE,267
LOC107984114,NF,265
ZC2HC1B,NDE,265
BMPR1B,NDE,265
LOC107986443,NF,264
LOC107985497,NF,264
LOC105371735,NF,263
SLC22A15,NDE,263
LOC101928335,NF,263
LOC105377785,NF,262
LOC101928362,NF,262
SLC15A5,NF,262
DNASE1L3,NF,262
LARS2,NDE,262
LINC01257,NF,261
LOC105375207,NF,261
LOC107986348,NF,260
LOC105370974,NF,260
LOC105374773,NF,259
LOC101927960,NF,259
CNTN5,NDE,258
SLC8A1,NDE,258
PPP2R2C,NDE,258
FREM3,NF,258
ADRA1B,NDE,258
PTPRD,NDE,257
LOC105371907,NF,257
AGBL1-AS1,NF,256
ANO5,NDE,256
PAPPA2,NDE,256
SEPT11,NDE,255
TMCC1,NDE,254
LOC105377291,NF,254
CLEC12A,NF,253
LOC105372091,NF,253
SLC44A1,NDE,252
DZANK1,NF,251
CDH19,NF,251
LOC107986484,NF,251
TRPM3,NDE,250
SPTA1,NDE,250
GNAI1,NDE,250
CCDC102B,NDE,249
IL1F10,NDE,249
SNRPA,NDE,248
LOC105369439,NF,248
SPACA6,NDE,248
EHHADH,NDE,248
KCTD20,NDE,247
UMPS,NDE,247
LOC105375669,NF,247
SPAG1,NDE,247
PDGFD,NDE,247
LOC105379246,NF,246
CYP4F2,NDE,246
MEPE,NDE,245
RBMX,NDE,245
LOC105375653,NF,245
TTC39B,NDE,245
SNORD61,NDE,245
FAM184A,NDE,245
FUT4,NDE,244
LINC01511,NF,244
CYP2C9,NDE,244
R3HCC1L,NDE,244
LOC105378888,NF,244
LOC105378889,NF,244
TEX36,NDE,244
HIVEP3,NDE,244
LOC107985872,NF,243
FRMD4A,NDE,243
FAM234B,NDE,242
LOC105373608,NF,241
TRIM2,NDE,241
CABYR,NDE,241
LOC105369568,NF,240
NECTIN1,NDE,240
LINC00379,NF,240
LINC01312,NF,239
CASC16,NF,239
TET2,NDE,239
XRCC4,NDE,239
BIN2,NDE,238
LOC105373454,NF,238
LOC102724861,NF,238
AKAP6,NDE,238
CREG1,NDE,237
NCALD,NDE,237
LOC101928627,NF,237
DNAH7,NDE,236
LINC01197,NF,236
BCL11A,NDE,235
LOC107985887,NF,235
LOC107984764,NF,235
IL26,NDE,235
LOC105375725,NF,235
LOC101928046,NF,234
GPC5,NDE,234
LOC107985744,NF,234
GYS1,NDE,234
SLC35F1,NDE,234
DDX52,NDE,234
CXCL14,NDE,233
LOC105371508,NF,233
SHANK2,NDE,232
ERN1,NDE,232
LOC105371195,NF,231
IL25,NF,231
GLMN,NDE,231
CMTM5,NDE,231
LINC00607,NF,231
LOC107985255,NF,231
LOC105377483,NF,230
GPR158,NDE,230
GLIS3,NDE,230
CTNND1,NDE,230
BRD3,NDE,230
TMX2-CTNND1,NF,230
PPP3CA,NDE,230
